player,Total_Balls,Risk_Score,Risk_Level
KAJ Roach,52,0.52,Low
Ravi Bishnoi,52,0.52,Low
DJ Mitchell,51,0.51,Low
RJ Gleeson,51,0.51,Low
A Nortje,51,0.51,Low
D Salunkhe,51,0.51,Low
K Santokie,51,0.51,Low
M Ashwin,50,0.5,Low
OF Smith,50,0.5,Low
C Nanda,50,0.5,Low
AB Dinda,50,0.5,Low
L Balaji,50,0.5,Low
SC Kuggeleijn,50,0.5,Low
D Kalyankrishna,50,0.5,Low
CV Varun,49,0.49,Low
A Kumble,49,0.49,Low
Shoaib Malik,49,0.49,Low
MG Bracewell,49,0.49,Low
B Geeves,49,0.49,Low
Vivrant Sharma,49,0.49,Low
S Dhawan,49,0.49,Low
RJ Peterson,48,0.48,Low
GS Sandhu,48,0.48,Low
LH Ferguson,48,0.48,Low
DR Sams,48,0.48,Low
JM Kemp,47,0.47,Low
PJ Sangwan,47,0.47,Low
Anureet Singh,47,0.47,Low
KR Mayers,46,0.46,Low
Shahid Afridi,46,0.46,Low
Swapnil Singh,46,0.46,Low
CL White,46,0.46,Low
Shoaib Akhtar,46,0.46,Low
SE Rutherford,46,0.46,Low
MK Tiwary,45,0.45,Low
JPR Scantlebury-Searles,45,0.45,Low
L Ablish,45,0.45,Low
PP Ojha,45,0.45,Low
Ramandeep Singh,45,0.45,Low
M Markande,44,0.44,Low
DJ Thornely,44,0.44,Low
AJ Finch,44,0.44,Low
SM Boland,43,0.43,Low
D du Preez,43,0.43,Low
Sameer Rizvi,43,0.43,Low
RS Hangargekar,43,0.43,Low
AB Barath,43,0.43,Low
GH Vihari,43,0.43,Low
M Manhas,42,0.42,Low
CJ McKay,42,0.42,Low
LB Williams,42,0.42,Low
Arshdeep Singh,42,0.42,Low
MM Patel,41,0.41,Low
AS Rajpoot,41,0.41,Low
AUK Pathan,41,0.41,Low
AS Yadav,40,0.4,Low
Rasikh Salam,40,0.4,Low
KW Richardson,39,0.39,Low
